# Hyytiälä forest station, July 13 2019. A very clear day, quite low Sun
#   igeom=0  : user geometry
#   asol=52.7°, phi0=100°, avis=0° (nadir), phi_v=0°
#   idatm=8  : US62 profile, user H2O=1.5 g/cm², O3=0.40 cm-atm
#   iaer=1   : continental aerosol, AOT@550=0.08 (clean boreal conditions)
#   xps=-0.2 : target at 200 m altitude (Hyytiälä ~180 m a.s.l.)
#   xpp=-1000: satellite → full-column irradiance reaching the surface
#   iwave=-1 : monochromatic, wavelength set per call (see {wl} below)
#   inhomo=0 : uniform surface
#   idirec=0 : Lambertian
#   igroun=1 : vegetation spectrum
#   rapp=-2  : forward simulation, no retrieval
# wl(nm)	SQratio
400	0.8695
405	0.8710
410	0.8724
415	0.8738
420	0.8752
425	0.8766
430	0.8780
435	0.8793
440	0.8806
445	0.8819
450	0.8832
455	0.8844
460	0.8857
465	0.8869
470	0.8880
475	0.8892
480	0.8903
485	0.8915
490	0.8926
495	0.8937
500	0.8946
505	0.8956
510	0.8966
515	0.8976
520	0.8987
525	0.8998
530	0.9008
535	0.9019
540	0.9030
545	0.9041
550	0.9052
555	0.9063
560	0.9074
565	0.9085
570	0.9095
575	0.9106
580	0.9116
585	0.9125
590	0.9135
595	0.9144
600	0.9153
605	0.9162
610	0.9171
615	0.9179
620	0.9187
625	0.9195
630	0.9203
635	0.9210
640	0.9218
645	0.9226
650	0.9233
655	0.9241
660	0.9247
665	0.9249
670	0.9248
675	0.9248
680	0.9249
685	0.9250
690	0.9250
695	0.9250
700	0.9253
705	0.9253
710	0.9255
715	0.9257
720	0.9258
725	0.9260
730	0.9262
735	0.9265
740	0.9272
745	0.9278
750	0.9284
755	0.9291
760	0.9297
765	0.9304
770	0.9310
775	0.9316
780	0.9323
785	0.9329
790	0.9335
795	0.9341
800	0.9347
805	0.9352
810	0.9358
815	0.9363
820	0.9369
825	0.9374
830	0.9380
835	0.9385
840	0.9390
845	0.9395
850	0.9400
855	0.9405
860	0.9410
865	0.9415
870	0.9420
875	0.9424
880	0.9429
885	0.9433
890	0.9438
895	0.9442
900	0.9446
905	0.9451
910	0.9455
915	0.9459
920	0.9463
925	0.9467
930	0.9471
935	0.9475
940	0.9479
945	0.9483
950	0.9487
955	0.9491
960	0.9494
965	0.9498
970	0.9502
975	0.9505
980	0.9509
985	0.9512
990	0.9516
995	0.9519
1000	0.9523
1005	0.9526
1010	0.9530
1015	0.9533
1020	0.9536
1025	0.9540
1030	0.9543
1035	0.9546
1040	0.9549
1045	0.9553
1050	0.9556
1055	0.9559
1060	0.9562
1065	0.9565
1070	0.9568
1075	0.9571
1080	0.9574
1085	0.9577
1090	0.9580
1095	0.9583
1100	0.9586
1105	0.9589
1110	0.9591
1115	0.9594
1120	0.9597
1125	0.9600
1130	0.9602
