#	"Juola, J., Rautiainen, M. & Hovi, A. (2025). A spectral library of branches for seven boreal and temperate tree species.?Data in Brief, 63 112255. doi:https://doi.org/10.1016/j.dib.2025.112255."
#	Suothern Finland branch samples
#	Betula pendula
#	"measured with an integrating sphere, all spectra averaged"
#wl(nm)	reflectance
351	0.20489189
352	0.206884257
353	0.207584867
354	0.205534053
355	0.202594956
356	0.204266211
357	0.20835884
358	0.209228147
359	0.204665757
360	0.205726121
361	0.208580497
362	0.209957107
363	0.20792063
364	0.208235908
365	0.209420182
366	0.210113266
367	0.210380407
368	0.211373524
369	0.21171606
370	0.21068436
371	0.212048502
372	0.213001171
373	0.213452555
374	0.214815217
375	0.215856602
376	0.216805853
377	0.217745565
378	0.218277914
379	0.220139466
380	0.221689219
381	0.221579134
382	0.222648097
383	0.223571013
384	0.224550894
385	0.226430612
386	0.226421262
387	0.226361958
388	0.227374067
389	0.228683369
390	0.229923925
391	0.230910106
392	0.231659237
393	0.232493268
394	0.233603927
395	0.2347324
396	0.235398109
397	0.236109015
398	0.237090014
399	0.238239845
400	0.238922227
401	0.240364816
402	0.241819481
403	0.242288811
404	0.242358268
405	0.242601143
406	0.243257381
407	0.244267801
408	0.245354111
409	0.246370845
410	0.247220489
411	0.247776261
412	0.248481837
413	0.249384299
414	0.250323435
415	0.250898382
416	0.251672877
417	0.252786216
418	0.253896692
419	0.254508924
420	0.2551839
421	0.256257834
422	0.256869997
423	0.257703719
424	0.258597089
425	0.259088607
426	0.259808949
427	0.260635666
428	0.261473907
429	0.262375997
430	0.263254059
431	0.264131675
432	0.265005243
433	0.265622444
434	0.266468646
435	0.267504361
436	0.268336382
437	0.269254273
438	0.270256619
439	0.271306237
440	0.272405241
441	0.273401781
442	0.274347382
443	0.275354151
444	0.276388414
445	0.277495061
446	0.278614765
447	0.279586094
448	0.280701257
449	0.28184917
450	0.282890545
451	0.283863973
452	0.284870745
453	0.2858995
454	0.286870569
455	0.287708056
456	0.288607491
457	0.289618768
458	0.290509377
459	0.291414335
460	0.292285303
461	0.293078986
462	0.294037849
463	0.294832089
464	0.295542009
465	0.296575383
466	0.297290714
467	0.297947708
468	0.298804701
469	0.299736242
470	0.300550872
471	0.301330017
472	0.302236138
473	0.303009178
474	0.30379943
475	0.304667589
476	0.305507803
477	0.306396212
478	0.307276829
479	0.308093066
480	0.30891339
481	0.309717494
482	0.310510135
483	0.31131322
484	0.312068646
485	0.312940549
486	0.313962709
487	0.314817639
488	0.315649257
489	0.316534259
490	0.317513252
491	0.318527831
492	0.31958098
493	0.320622291
494	0.321530534
495	0.322596331
496	0.323757056
497	0.324891611
498	0.326002489
499	0.327162789
500	0.328366989
501	0.329558757
502	0.330766921
503	0.332026931
504	0.333344166
505	0.334665026
506	0.336023523
507	0.337376149
508	0.338681209
509	0.340091996
510	0.341475045
511	0.342824719
512	0.34430486
513	0.345732606
514	0.347131608
515	0.348544859
516	0.349902273
517	0.351256614
518	0.352625994
519	0.353998068
520	0.355295765
521	0.356590109
522	0.357908163
523	0.359140945
524	0.36038352
525	0.361574289
526	0.362638471
527	0.363758246
528	0.36492748
529	0.366080402
530	0.367101752
531	0.368143088
532	0.369195771
533	0.370226225
534	0.371260437
535	0.372270676
536	0.373271088
537	0.374297976
538	0.37528882
539	0.376293142
540	0.37731796
541	0.378231966
542	0.379221907
543	0.380262565
544	0.381256969
545	0.382240712
546	0.383198215
547	0.384139464
548	0.38510958
549	0.386102208
550	0.387074058
551	0.387995062
552	0.388920038
553	0.389825717
554	0.390727411
555	0.391665236
556	0.392608017
557	0.393541029
558	0.394451048
559	0.395312737
560	0.396205894
561	0.397079101
562	0.397850496
563	0.398647557
564	0.399430938
565	0.400179653
566	0.400914219
567	0.401634213
568	0.402323088
569	0.402979838
570	0.403684497
571	0.404327136
572	0.404920516
573	0.405574822
574	0.406246378
575	0.406912214
576	0.407556187
577	0.408164046
578	0.408817823
579	0.409482143
580	0.410088372
581	0.410744661
582	0.411391152
583	0.412010096
584	0.412663202
585	0.413274761
586	0.413884449
587	0.414539631
588	0.415184408
589	0.415829979
590	0.416473227
591	0.41710034
592	0.417719942
593	0.418361246
594	0.419028695
595	0.419662303
596	0.420289519
597	0.420931271
598	0.42159445
599	0.42220538
600	0.422819132
601	0.42346086
602	0.424100791
603	0.424700269
604	0.425285485
605	0.425885408
606	0.426467968
607	0.427006089
608	0.427518174
609	0.428052635
610	0.428566515
611	0.429059851
612	0.429539305
613	0.430008772
614	0.430472772
615	0.430914804
616	0.431323133
617	0.431766652
618	0.432228056
619	0.432694265
620	0.433166814
621	0.433681578
622	0.43420513
623	0.434704065
624	0.435204712
625	0.435735587
626	0.436291392
627	0.436843244
628	0.437396278
629	0.437944004
630	0.438483759
631	0.439023984
632	0.439523583
633	0.440002668
634	0.440482296
635	0.440856383
636	0.441181197
637	0.441457392
638	0.441616754
639	0.44170023
640	0.441700343
641	0.441610975
642	0.44145649
643	0.441233322
644	0.440977436
645	0.44073965
646	0.440476331
647	0.440258661
648	0.440141301
649	0.440129714
650	0.440256712
651	0.44049381
652	0.440796367
653	0.441165254
654	0.4415064
655	0.441785789
656	0.442018221
657	0.442088419
658	0.442005505
659	0.441784617
660	0.441389692
661	0.440885142
662	0.440292232
663	0.439620436
664	0.438918098
665	0.438228699
666	0.437559663
667	0.436878837
668	0.436313122
669	0.435852166
670	0.435480868
671	0.435281517
672	0.435227276
673	0.43528819
674	0.435435144
675	0.435680912
676	0.435997402
677	0.43637856
678	0.436855459
679	0.437463331
680	0.43822859
681	0.439189729
682	0.440442015
683	0.441969748
684	0.443800162
685	0.445985027
686	0.448405881
687	0.451067548
688	0.453938788
689	0.456889339
690	0.459837331
691	0.462788693
692	0.465751826
693	0.468523784
694	0.471201272
695	0.473810509
696	0.476292105
697	0.47864888
698	0.480920137
699	0.483128726
700	0.485245076
701	0.48727442
702	0.489236287
703	0.491155661
704	0.493015443
705	0.494808805
706	0.496546107
707	0.498255481
708	0.499909762
709	0.501526078
710	0.50312283
711	0.504695967
712	0.506245403
713	0.507767822
714	0.509263052
715	0.510768752
716	0.512230702
717	0.513645648
718	0.515083782
719	0.516514457
720	0.517920875
721	0.519296616
722	0.520646324
723	0.522003455
724	0.52333002
725	0.524566841
726	0.525804639
727	0.527019074
728	0.528204371
729	0.529392886
730	0.530542204
731	0.531659978
732	0.532749394
733	0.533751473
734	0.534757887
735	0.53575827
736	0.536701067
737	0.537653621
738	0.538581369
739	0.5394696
740	0.540339258
741	0.541187611
742	0.542014556
743	0.542819417
744	0.543604014
745	0.54435503
746	0.54508366
747	0.545810032
748	0.546541578
749	0.547238727
750	0.547901961
751	0.548579706
752	0.54925631
753	0.549916492
754	0.550553009
755	0.551181142
756	0.551790451
757	0.552388238
758	0.552986314
759	0.553581862
760	0.554173261
761	0.554747671
762	0.555303755
763	0.555890181
764	0.556465238
765	0.55700768
766	0.557560854
767	0.558099807
768	0.558629349
769	0.559158321
770	0.559676314
771	0.560216739
772	0.560767719
773	0.561290886
774	0.561815507
775	0.562344464
776	0.562873361
777	0.563391279
778	0.563881015
779	0.564379579
780	0.564907655
781	0.565391231
782	0.565857737
783	0.566333555
784	0.566838623
785	0.567355839
786	0.567863821
787	0.56836467
788	0.568878019
789	0.569348349
790	0.569813324
791	0.570292773
792	0.570739124
793	0.571186627
794	0.571639599
795	0.572097049
796	0.572569115
797	0.573040373
798	0.573509662
799	0.573981019
800	0.574426668
801	0.57488884
802	0.575370228
803	0.575820885
804	0.576256035
805	0.576685237
806	0.577112357
807	0.577528003
808	0.577973811
809	0.57842788
810	0.578859385
811	0.579300597
812	0.579753545
813	0.580200635
814	0.580619896
815	0.581057504
816	0.581460032
817	0.581833374
818	0.582259387
819	0.582676537
820	0.583066583
821	0.583445609
822	0.583882257
823	0.584312164
824	0.584725552
825	0.585129722
826	0.585527419
827	0.585902814
828	0.586258297
829	0.586608282
830	0.586974946
831	0.58731811
832	0.58763794
833	0.587976841
834	0.588337762
835	0.588726598
836	0.589131715
837	0.589517473
838	0.589897536
839	0.590254207
840	0.590587844
841	0.590967005
842	0.591340681
843	0.591698381
844	0.592053031
845	0.592406425
846	0.592727581
847	0.593050674
848	0.593432874
849	0.593789017
850	0.594117182
851	0.594458684
852	0.5948758
853	0.595224728
854	0.595566732
855	0.595924046
856	0.596207378
857	0.596502143
858	0.596819074
859	0.597140187
860	0.597425547
861	0.597734084
862	0.598051266
863	0.598338129
864	0.598601619
865	0.598909216
866	0.599245034
867	0.599554913
868	0.599859008
869	0.600124114
870	0.600377864
871	0.600682734
872	0.600966588
873	0.60124052
874	0.601512981
875	0.601781811
876	0.602046788
877	0.602314905
878	0.602587271
879	0.602847509
880	0.603108885
881	0.603384238
882	0.603671428
883	0.603939398
884	0.604193667
885	0.60443532
886	0.604666963
887	0.604927595
888	0.605065131
889	0.605179481
890	0.60540209
891	0.605563942
892	0.605711977
893	0.605864999
894	0.606026072
895	0.606216209
896	0.606390056
897	0.606554255
898	0.606742406
899	0.606883429
