#	"Forsstr?m, P., Juola, J., Hovi, A. & Rautiainen, M. (2021). Dataset of understory reflectance spectra and fractional cover in a boreal forest area in Finland, doi: 10.17632/2g9nkcdj53.1 (ver 3)"
#	Forest floor reflectance data
#	"Absorption bands removed and filled linearly: [1350,1483] and [1789,2074] nm"
#	Average of all spectra of sites in the VT (sub-xeric) fertility class
#	Overstory always pine
# wl(nm)	reflectance
350	0.015
351	0.015
352	0.015
353	0.015
354	0.015
355	0.015
356	0.015
357	0.015
358	0.015
359	0.015
360	0.015
361	0.015
362	0.015
363	0.015
364	0.015
365	0.015
366	0.015
367	0.015
368	0.015
369	0.015
370	0.015
371	0.015
372	0.016
373	0.016
374	0.016
375	0.016
376	0.016
377	0.016
378	0.016
379	0.016
380	0.016
381	0.016
382	0.016
383	0.016
384	0.016
385	0.016
386	0.016
387	0.016
388	0.016
389	0.017
390	0.017
391	0.017
392	0.017
393	0.017
394	0.017
395	0.017
396	0.017
397	0.017
398	0.017
399	0.017
400	0.017
401	0.017
402	0.018
403	0.018
404	0.018
405	0.018
406	0.018
407	0.018
408	0.018
409	0.018
410	0.019
411	0.019
412	0.019
413	0.019
414	0.019
415	0.019
416	0.020
417	0.020
418	0.020
419	0.020
420	0.020
421	0.021
422	0.021
423	0.021
424	0.021
425	0.022
426	0.022
427	0.022
428	0.022
429	0.022
430	0.023
431	0.023
432	0.023
433	0.023
434	0.023
435	0.023
436	0.024
437	0.024
438	0.024
439	0.024
440	0.024
441	0.025
442	0.025
443	0.025
444	0.025
445	0.025
446	0.025
447	0.026
448	0.026
449	0.026
450	0.026
451	0.026
452	0.027
453	0.027
454	0.027
455	0.027
456	0.027
457	0.027
458	0.027
459	0.028
460	0.028
461	0.028
462	0.028
463	0.028
464	0.028
465	0.028
466	0.028
467	0.028
468	0.029
469	0.029
470	0.029
471	0.029
472	0.029
473	0.029
474	0.029
475	0.029
476	0.029
477	0.030
478	0.030
479	0.030
480	0.030
481	0.030
482	0.030
483	0.030
484	0.030
485	0.030
486	0.031
487	0.031
488	0.031
489	0.031
490	0.031
491	0.031
492	0.032
493	0.032
494	0.032
495	0.032
496	0.033
497	0.033
498	0.034
499	0.034
500	0.034
501	0.035
502	0.035
503	0.036
504	0.037
505	0.037
506	0.038
507	0.039
508	0.040
509	0.041
510	0.041
511	0.042
512	0.044
513	0.045
514	0.046
515	0.047
516	0.049
517	0.050
518	0.052
519	0.053
520	0.055
521	0.056
522	0.058
523	0.059
524	0.061
525	0.062
526	0.064
527	0.065
528	0.066
529	0.068
530	0.069
531	0.070
532	0.071
533	0.072
534	0.073
535	0.073
536	0.074
537	0.075
538	0.075
539	0.076
540	0.076
541	0.077
542	0.077
543	0.078
544	0.078
545	0.079
546	0.079
547	0.079
548	0.080
549	0.080
550	0.080
551	0.081
552	0.081
553	0.081
554	0.081
555	0.081
556	0.081
557	0.081
558	0.081
559	0.081
560	0.080
561	0.080
562	0.080
563	0.079
564	0.079
565	0.078
566	0.078
567	0.077
568	0.077
569	0.076
570	0.075
571	0.075
572	0.074
573	0.073
574	0.073
575	0.072
576	0.072
577	0.071
578	0.071
579	0.070
580	0.070
581	0.070
582	0.069
583	0.069
584	0.069
585	0.069
586	0.069
587	0.068
588	0.068
589	0.068
590	0.068
591	0.068
592	0.068
593	0.068
594	0.068
595	0.068
596	0.068
597	0.068
598	0.068
599	0.068
600	0.068
601	0.068
602	0.068
603	0.068
604	0.068
605	0.068
606	0.068
607	0.067
608	0.067
609	0.067
610	0.067
611	0.067
612	0.066
613	0.066
614	0.066
615	0.066
616	0.065
617	0.065
618	0.065
619	0.065
620	0.065
621	0.065
622	0.065
623	0.065
624	0.065
625	0.065
626	0.065
627	0.065
628	0.065
629	0.065
630	0.066
631	0.066
632	0.066
633	0.066
634	0.066
635	0.066
636	0.066
637	0.065
638	0.065
639	0.065
640	0.064
641	0.064
642	0.063
643	0.063
644	0.062
645	0.062
646	0.061
647	0.061
648	0.061
649	0.060
650	0.060
651	0.060
652	0.060
653	0.060
654	0.060
655	0.060
656	0.060
657	0.059
658	0.059
659	0.059
660	0.058
661	0.058
662	0.058
663	0.057
664	0.057
665	0.057
666	0.056
667	0.056
668	0.056
669	0.056
670	0.056
671	0.056
672	0.056
673	0.056
674	0.056
675	0.056
676	0.056
677	0.057
678	0.057
679	0.057
680	0.058
681	0.058
682	0.059
683	0.060
684	0.061
685	0.062
686	0.063
687	0.066
688	0.068
689	0.071
690	0.073
691	0.076
692	0.079
693	0.083
694	0.088
695	0.092
696	0.097
697	0.102
698	0.107
699	0.112
700	0.117
701	0.123
702	0.128
703	0.134
704	0.139
705	0.144
706	0.150
707	0.155
708	0.160
709	0.165
710	0.171
711	0.176
712	0.181
713	0.187
714	0.192
715	0.197
716	0.203
717	0.208
718	0.214
719	0.220
720	0.226
721	0.231
722	0.235
723	0.239
724	0.245
725	0.250
726	0.254
727	0.258
728	0.262
729	0.266
730	0.270
731	0.274
732	0.277
733	0.280
734	0.283
735	0.285
736	0.288
737	0.291
738	0.293
739	0.295
740	0.297
741	0.299
742	0.301
743	0.303
744	0.304
745	0.306
746	0.307
747	0.308
748	0.309
749	0.310
750	0.311
751	0.312
752	0.313
753	0.314
754	0.315
755	0.316
756	0.316
757	0.317
758	0.318
759	0.319
760	0.322
761	0.325
762	0.325
763	0.325
764	0.324
765	0.323
766	0.323
767	0.323
768	0.323
769	0.323
770	0.323
771	0.324
772	0.324
773	0.325
774	0.325
775	0.325
776	0.326
777	0.326
778	0.327
779	0.327
780	0.327
781	0.328
782	0.328
783	0.329
784	0.329
785	0.329
786	0.330
787	0.330
788	0.331
789	0.331
790	0.331
791	0.332
792	0.332
793	0.333
794	0.333
795	0.333
796	0.334
797	0.334
798	0.335
799	0.335
800	0.336
801	0.336
802	0.336
803	0.337
804	0.337
805	0.338
806	0.338
807	0.338
808	0.339
809	0.339
810	0.340
811	0.340
812	0.341
813	0.341
814	0.341
815	0.342
816	0.342
817	0.343
818	0.343
819	0.343
820	0.344
821	0.344
822	0.345
823	0.345
824	0.345
825	0.346
826	0.346
827	0.346
828	0.347
829	0.347
830	0.348
831	0.348
832	0.348
833	0.349
834	0.349
835	0.349
836	0.350
837	0.350
838	0.350
839	0.351
840	0.351
841	0.352
842	0.352
843	0.352
844	0.353
845	0.353
846	0.353
847	0.354
848	0.354
849	0.355
850	0.355
851	0.355
852	0.356
853	0.356
854	0.356
855	0.357
856	0.357
857	0.357
858	0.358
859	0.358
860	0.358
861	0.359
862	0.359
863	0.359
864	0.360
865	0.360
866	0.360
867	0.361
868	0.361
869	0.361
870	0.362
871	0.362
872	0.362
873	0.363
874	0.363
875	0.363
876	0.364
877	0.364
878	0.364
879	0.365
880	0.365
881	0.365
882	0.366
883	0.366
884	0.366
885	0.367
886	0.367
887	0.367
888	0.368
889	0.368
890	0.368
891	0.369
892	0.369
893	0.369
894	0.369
895	0.370
896	0.370
897	0.370
898	0.370
899	0.370
900	0.371
901	0.371
902	0.371
903	0.372
904	0.372
905	0.372
906	0.372
907	0.373
908	0.373
909	0.373
910	0.373
911	0.373
912	0.374
913	0.374
914	0.374
915	0.374
916	0.375
917	0.375
918	0.375
919	0.376
920	0.376
921	0.376
922	0.377
923	0.377
924	0.377
925	0.377
926	0.377
927	0.377
928	0.376
929	0.376
930	0.375
931	0.374
932	0.373
933	0.371
934	0.370
935	0.369
936	0.369
937	0.369
938	0.370
939	0.371
940	0.371
941	0.371
942	0.371
943	0.371
944	0.371
945	0.371
946	0.370
947	0.370
948	0.370
949	0.370
950	0.370
951	0.370
952	0.370
953	0.370
954	0.370
955	0.370
956	0.371
957	0.371
958	0.371
959	0.371
960	0.371
961	0.372
962	0.372
963	0.372
964	0.373
965	0.374
966	0.374
967	0.374
968	0.374
969	0.375
970	0.375
971	0.375
972	0.375
973	0.375
974	0.375
975	0.375
976	0.376
977	0.376
978	0.376
979	0.376
980	0.377
981	0.377
982	0.377
983	0.378
984	0.378
985	0.379
986	0.379
987	0.379
988	0.379
989	0.380
990	0.380
991	0.380
992	0.381
993	0.381
994	0.382
995	0.382
996	0.382
997	0.383
998	0.383
999	0.383
1000	0.384
1001	0.389
1002	0.389
1003	0.390
1004	0.390
1005	0.390
1006	0.391
1007	0.391
1008	0.392
1009	0.392
1010	0.393
1011	0.393
1012	0.394
1013	0.394
1014	0.395
1015	0.395
1016	0.395
1017	0.396
1018	0.397
1019	0.397
1020	0.398
1021	0.398
1022	0.399
1023	0.399
1024	0.399
1025	0.400
1026	0.400
1027	0.401
1028	0.401
1029	0.402
1030	0.402
1031	0.403
1032	0.403
1033	0.404
1034	0.404
1035	0.405
1036	0.405
1037	0.406
1038	0.406
1039	0.407
1040	0.407
1041	0.408
1042	0.408
1043	0.408
1044	0.409
1045	0.409
1046	0.410
1047	0.410
1048	0.410
1049	0.410
1050	0.411
1051	0.411
1052	0.412
1053	0.412
1054	0.412
1055	0.413
1056	0.413
1057	0.413
1058	0.414
1059	0.414
1060	0.415
1061	0.415
1062	0.415
1063	0.416
1064	0.416
1065	0.417
1066	0.417
1067	0.417
1068	0.417
1069	0.418
1070	0.418
1071	0.419
1072	0.419
1073	0.419
1074	0.419
1075	0.420
1076	0.420
1077	0.420
1078	0.420
1079	0.421
1080	0.421
1081	0.421
1082	0.422
1083	0.422
1084	0.422
1085	0.422
1086	0.422
1087	0.423
1088	0.423
1089	0.423
1090	0.423
1091	0.423
1092	0.423
1093	0.424
1094	0.424
1095	0.424
1096	0.424
1097	0.424
1098	0.424
1099	0.425
1100	0.425
1101	0.425
1102	0.425
1103	0.425
1104	0.425
1105	0.425
1106	0.425
1107	0.425
1108	0.425
1109	0.425
1110	0.425
1111	0.425
1112	0.425
1113	0.425
1114	0.425
1115	0.425
1116	0.426
1117	0.426
1118	0.426
1119	0.426
1120	0.425
1121	0.424
1122	0.423
1123	0.422
1124	0.422
1125	0.421
1126	0.423
1127	0.423
1128	0.424
1129	0.423
1130	0.422
