#Pinus sylvestris needle WEIGHTED (1/3 current-year + 2/3 old) reflectance and transmittance, 20160725, from Specchio		
#Hovi A.,  Raitio P., Rautiainen M. (2017). A spectral analysis of 25 boreal tree species. Silva Fennica vol. 51 no. 4 article id 7753. https://doi.org/10.14214/sf.7753		
#wl	R_weighted	T_weighted
400	0.077	0.018
401	0.077	0.018
402	0.077	0.018
403	0.077	0.018
404	0.077	0.018
405	0.077	0.017
406	0.078	0.017
407	0.078	0.017
408	0.078	0.017
409	0.078	0.017
410	0.078	0.018
411	0.079	0.018
412	0.079	0.018
413	0.079	0.018
414	0.080	0.018
415	0.080	0.018
416	0.081	0.018
417	0.081	0.019
418	0.082	0.019
419	0.082	0.019
420	0.083	0.019
421	0.083	0.020
422	0.083	0.020
423	0.084	0.020
424	0.084	0.021
425	0.085	0.021
426	0.085	0.021
427	0.086	0.021
428	0.086	0.022
429	0.087	0.022
430	0.087	0.022
431	0.087	0.023
432	0.088	0.023
433	0.088	0.023
434	0.088	0.024
435	0.088	0.024
436	0.089	0.024
437	0.089	0.024
438	0.089	0.025
439	0.089	0.025
440	0.090	0.025
441	0.090	0.025
442	0.090	0.025
443	0.090	0.025
444	0.090	0.026
445	0.090	0.026
446	0.091	0.026
447	0.091	0.026
448	0.091	0.026
449	0.091	0.027
450	0.091	0.027
451	0.091	0.027
452	0.091	0.027
453	0.092	0.027
454	0.092	0.027
455	0.092	0.027
456	0.092	0.027
457	0.092	0.028
458	0.092	0.028
459	0.092	0.028
460	0.092	0.028
461	0.092	0.028
462	0.092	0.028
463	0.092	0.028
464	0.092	0.028
465	0.091	0.028
466	0.091	0.028
467	0.091	0.028
468	0.091	0.028
469	0.091	0.028
470	0.091	0.028
471	0.091	0.028
472	0.091	0.028
473	0.091	0.028
474	0.091	0.028
475	0.091	0.028
476	0.091	0.028
477	0.091	0.028
478	0.090	0.028
479	0.090	0.029
480	0.090	0.029
481	0.090	0.029
482	0.090	0.029
483	0.090	0.029
484	0.090	0.029
485	0.090	0.029
486	0.090	0.029
